,OFIPS,DFIPS,comm,quantity,startRR,ONode,DNode,ODIST
95,27089,27069,1,3417.6,0,27064.0,38010,0.0
96,27089,27139,1,13392.72,0,27064.0,27054,0.0
97,27089,29095,1,2670.0,0,27064.0,29052,0.0
98,27089,55079,1,14482.08,0,27064.0,55034,0.0
99,27089,48479,1,3666.8,0,27064.0,48013,0.0
100,27113,27139,1,3987.2,0,27064.0,27054,0.0
101,27113,38077,1,2883.6,0,27064.0,38030,0.0
102,27123,27037,1,4592.4,0,27046.0,27030,0.0
103,27137,27137,1,3926.68,0,27023.0,27023,0.0
104,27147,17031,1,3382.0,0,27035.0,17046,0.0
105,30091,38013,1,4229.28,0,30014.0,38028,0.0
106,30091,53033,1,62958.6,0,30014.0,53006,0.0
107,38009,55031,1,3962.28,0,38007.0,55001,0.0
108,38013,27049,1,7689.6,0,38028.0,27037,0.0
109,38013,27139,1,3524.4,0,38028.0,27054,0.0
110,38023,27169,1,3382.0,0,38005.0,27031,0.0
111,38023,53053,1,5286.6,0,38005.0,53010,0.0
112,38049,27049,1,6408.0,0,38003.0,27037,0.0
113,38055,17031,1,7084.4,0,38016.0,17046,0.0
114,38055,27049,1,5767.2,0,38016.0,27037,0.0
115,38055,27053,1,3560.0,0,38016.0,27053,0.0
116,38055,27139,1,4058.4,0,38016.0,27054,0.0
117,38055,6037,1,7048.8,0,38016.0,6091,0.0
118,38055,48201,1,10074.8,0,38016.0,48095,0.0
119,38055,53033,1,3987.2,0,38016.0,53006,0.0
120,38055,36051,1,3524.4,0,38016.0,36010,0.0
121,38061,38049,1,6343.92,0,38018.0,38003,0.0
122,38071,55079,1,16041.36,0,38029.0,55034,0.0
123,38075,27049,1,6728.4,0,38019.0,27037,0.0
124,38075,27139,1,21146.4,0,38019.0,27054,0.0
125,38075,38049,1,9067.32,0,38019.0,38003,0.0
126,38075,48223,1,3524.4,0,38019.0,48093,0.0
127,38075,53053,1,7625.52,0,38019.0,53010,0.0
128,38077,27169,1,9579.96,0,38030.0,27031,0.0
129,38077,29095,1,6265.6,0,38030.0,29052,0.0
130,38099,17031,1,3595.6,0,38011.0,17046,0.0
131,38099,29095,1,7511.6,0,38011.0,29052,0.0
132,38101,27049,1,15379.2,0,38027.0,27037,0.0
133,38101,27139,1,6343.92,0,38027.0,27054,0.0
134,38101,38049,1,4058.4,0,38027.0,38003,0.0
135,38101,38077,1,19117.2,0,38027.0,38030,0.0
136,38101,55031,1,15154.92,0,38027.0,55001,0.0
137,38103,17031,1,11249.6,0,38039.0,17046,0.0
138,38103,27049,1,3204.0,0,38039.0,27037,0.0
139,38103,27123,1,7191.2,0,38039.0,27046,0.0
140,38103,48355,1,3666.8,0,38039.0,48060,0.0
141,46065,55015,1,10573.2,0,46002.0,55038,0.0
142,55031,27053,1,8366.0,0,55001.0,27053,0.0
143,55079,19131,1,3417.6,0,55034.0,27040,0.0
144,55079,55079,1,7155.6,0,55034.0,55034,0.0
145,19103,19113,1,6418.68,0,19008.0,19074,0.0
146,19113,19103,1,11797.84,0,19074.0,19008,0.0
147,1053,6031,1,11320.8,127,1016.0,6024,0.0
148,1053,53073,1,4912.8,127,1016.0,53020,0.0
149,17193,39137,1,7048.8,155,18031.0,39091,0.0
150,28083,47157,1,6799.6,0,28020.0,47008,0.0
151,12031,12031,1,26564.72,263,12028.0,12028,0.0
152,12031,12086,1,676.4,263,12028.0,12027,0.0
153,12086,17031,1,676.4,263,12027.0,17046,0.0
154,17031,19103,1,6717.72,316,17186.0,19008,0.0
155,17031,19155,1,783.2,316,17186.0,19048,0.0
156,17143,19103,1,19355.72,316,17005.0,19008,0.0
157,19103,17031,1,15005.4,316,19008.0,17046,0.0
158,20181,48355,1,3524.4,320,20048.0,48060,0.0
159,20209,48479,1,7322.92,400,20028.0,48013,0.0
160,48277,48355,1,4229.28,400,48118.0,48060,0.0
161,26017,47093,1,7048.8,438,26059.0,47033,0.0
162,26017,48479,1,5553.6,438,26059.0,48013,0.0
163,18019,21111,1,88110.0,434,21066.0,21035,0.0
164,1047,47157,1,13029.6,555,1046.0,47008,0.0
165,1073,12086,1,14453.6,555,1006.0,12027,0.0
166,1073,13211,1,7796.4,555,1006.0,13067,0.0
167,13067,38013,1,1459.6,555,13054.0,38028,0.0
168,13067,13051,1,1068.0,555,13054.0,13048,0.0
169,13067,17031,1,3560.0,555,13054.0,17046,0.0
170,13067,47157,1,1780.0,555,13054.0,47008,0.0
171,13095,5131,1,13100.8,555,13020.0,5019,0.0
172,13095,21067,1,15664.0,555,13020.0,21008,0.0
173,13095,28075,1,2349.6,555,13020.0,28026,0.0
174,13095,51015,1,9540.8,555,13020.0,51003,0.0
175,13095,51800,1,6408.0,555,13020.0,51077,0.0
176,13095,5119,1,10288.4,555,13020.0,5007,0.0
177,13177,5131,1,9896.8,555,13020.0,5019,0.0
178,13177,21067,1,19010.4,555,13020.0,21008,0.0
179,13177,5119,1,6586.0,555,13020.0,5007,0.0
180,13185,47157,1,35315.2,555,13015.0,47008,0.0
181,13201,5131,1,16376.0,555,13020.0,5019,0.0
182,13201,21067,1,12744.8,555,13020.0,21008,0.0
183,13201,28075,1,2349.6,555,13020.0,28026,0.0
184,13201,42129,1,2492.0,555,13020.0,42078,0.0
185,13201,5119,1,13741.6,555,13020.0,5007,0.0
186,13273,21067,1,6265.6,555,13020.0,21008,0.0
187,13273,47157,1,20327.6,555,13020.0,47008,0.0
188,13275,17031,1,6408.0,555,13065.0,17046,0.0
