,OFIPS,startRR,ONODE,ODIST
126,47157.0,712.0,47008.0,4.14937001
127,23003.0,0.0,23006.0,93.09731639
128,27129.0,768.0,27015.0,33.17652661
129,27151.0,768.0,27065.0,18.20628516
130,4013.0,777.0,4002.0,24.48844359
131,5093.0,777.0,5009.0,29.50319164
132,6001.0,777.0,6035.0,5.918953922
133,6029.0,777.0,6015.0,14.35583549
134,6037.0,777.0,6076.0,12.52486574
135,6049.0,777.0,6060.0,34.98578231
136,6071.0,777.0,6012.0,40.17440849
137,6077.0,777.0,6003.0,0.864388073
138,8031.0,777.0,8013.0,4.59470699
139,8087.0,777.0,8001.0,11.38239603
140,8095.0,777.0,8031.0,44.03989934
141,8121.0,777.0,8001.0,28.83564087
142,13121.0,777.0,13081.0,4.813873116
143,16069.0,777.0,53021.0,96.84226695
144,17085.0,777.0,17017.0,12.51703293
145,17163.0,777.0,17120.0,15.00603063
146,17197.0,777.0,17206.0,8.013867105
147,19153.0,777.0,19049.0,6.609184911
148,20029.0,777.0,20049.0,24.62292864
149,20041.0,777.0,20023.0,5.283929063
150,20047.0,777.0,20034.0,74.22690337
151,20055.0,777.0,8009.0,133.1210193
152,20057.0,777.0,40002.0,91.35203968
153,20069.0,777.0,40002.0,115.6596533
154,20075.0,777.0,8009.0,75.77090468
155,20091.0,777.0,20001.0,10.83132631
156,20155.0,777.0,20034.0,8.659393615
157,20157.0,777.0,20049.0,13.64427447
158,20169.0,777.0,20023.0,24.33614825
159,20173.0,777.0,20019.0,7.257888509
160,20189.0,777.0,48004.0,72.91593734
161,20191.0,777.0,20015.0,4.020186651
162,27003.0,777.0,27006.0,8.909498441
163,27027.0,777.0,27011.0,12.47461863
164,27053.0,777.0,27053.0,8.653544951
165,27069.0,777.0,38010.0,20.65337552
166,27113.0,777.0,27064.0,9.762717856
167,27119.0,777.0,27020.0,9.326481664
168,27123.0,777.0,27046.0,2.467658127
169,27137.0,777.0,27023.0,9.138284622
170,27151.0,777.0,27002.0,3.994910477
171,27167.0,777.0,38030.0,9.825859153
172,28095.0,777.0,28025.0,5.274130277
