ID,Unnamed: 0,A_NODE,B_NODE,LENGTH,TTIME,CAPACITY,P1,P2,GAMMA,TADJ,ML_CLASS,LINK_TYPE,NO_RRS,RR1,RR2,RR3,RR4,RR5,RR6,RR7,RR8,actualruntime,delay,GrossTonsOn_555,GrossTonsOn_712,GrossTonsOn_777,GrossTonsOn_802,GrossTonsOn_103,GrossTonsOn_490,GrossTonsOn_856,GrossTonsOn_780,GrossTonsOn_508,GrossTonsOn_400,GrossTonsOn_105,GrossTonsOn_154,GrossTonsOn_80,GrossTonsOn_108,GrossTonsOn_6,GrossTonsOn_320,GrossTonsOn_418,GrossTonsOn_335,GrossTonsOn_769,GrossTonsOn_967,GrossTonsOn_907,GrossTonsOn_258,GrossTonsOn_263,GrossTonsOn_300,GrossTonsOn_927,GrossTonsOn_462,GrossTonsOn_127,GrossTonsOn_850,GrossTonsOn_410,GrossTonsOn_434,GrossTonsOn_155,GrossTonsOn_998,GrossTonsOn_395,GrossTonsOn_88,GrossTonsOn_506,GrossTonsOn_156,GrossTonsOn_803,GrossTonsOn_757,GrossTonsOn_83,GrossTonsOn_357,GrossTonsOn_879,GrossTonsOn_316,GrossTonsOn_438,GrossTonsOn_797,GrossTonsOn_70,GrossTonsOn_773,GrossTonsOn_341,GrossTonsOn_871,GrossTonsOn_321,GrossTonsOn_361,GrossTonsOn_700,GrossTonsOn_496,GrossTonsOn_768,GrossTonsOn_631,GrossTonsOn_999,GrossTonsOn_90,GrossTonsOn_749,GrossTonsOn_922,GrossTonsOn_622,TotalGrossTons
29098,2624,29063,29057,1.93844,2.90766,86.0,0.003787,21.631586,25.0,0,0,2,1,802,0,0,0,0,0,0,0,0.05,0.01,0.0,0.0,0.0,80708758.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80708758.4
17241,2625,17151,17051,6.79463,13.58926,69.1,0.006318,15.758774,25.0,0,0,4,2,103,361,0,0,0,0,0,0,0.23,0.00,0.0,0.0,0.0,0.0,4803016.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3395677.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8198694.0
17242,2626,17005,17151,1.21187,1.817805,69.1,0.006318,15.758774,25.0,0,0,4,3,769,555,103,0,0,0,0,0,0.03,0.00,2083200.1,0.0,0.0,0.0,4642508.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510217.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7235925.6
17243,2627,17151,17152,2.68051,4.020765,69.1,0.006318,15.758774,25.0,0,0,4,3,103,555,769,0,0,0,0,0,0.07,0.00,2078096.7,0.0,0.0,0.0,146366.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510217.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2734680.7
34015,2628,34011,34014,0.00279,0.00372,258.0,0.001262,10.815793,10.0,0,0,4,3,712,105,555,0,0,0,0,0,0.00,0.00,2734406.9,23648512.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373875.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26756795.0
18122,2629,18081,17156,4.49643,7.70816571429,258.0,0.001262,10.815793,10.0,0,1,4,2,712,105,0,0,0,0,0,0,0.14,0.01,0.0,85281076.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6344962.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91626039.3
18123,2630,18077,18081,1.7838,3.5676,129.0,0.002525,21.631586,25.0,0,3,3,4,357,555,105,712,0,0,0,0,0.06,0.00,7239480.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7239480.3
17244,2631,17153,17139,3.41317,6.82634,258.0,0.001262,10.815793,10.0,0,0,4,4,357,105,712,555,0,0,0,0,0.12,0.00,45032729.3,1814301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6383917.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320326.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53551274.6
18124,2632,18073,18055,3.51567,4.68756,258.0,0.001262,10.815793,10.0,0,0,4,1,103,0,0,0,0,0,0,0,0.08,0.00,0.0,0.0,0.0,0.0,10516331.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10516331.1
17245,2633,17184,17154,2.41385,3.21846666667,258.0,0.001262,10.815793,10.0,0,0,4,1,555,0,0,0,0,0,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17246,2634,17186,17043,15.97733,23.965995,258.0,0.001262,10.815793,10.0,0,0,4,1,999,0,0,0,0,0,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17247,2635,17155,17138,0.30736,0.737664,258.0,0.001262,10.815793,10.0,0,0,4,6,83,712,555,777,103,105,0,0,0.01,0.00,4105481.1,236205.6,25191880.8,0.0,3387983.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32921550.9
17248,2636,17156,17153,0.20537,0.352062857143,86.0,0.003787,21.631586,25.0,0,0,2,4,357,105,712,555,0,0,0,0,0.01,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6344962.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6344962.8
