,OID,ML_CLASS,LINK_TYPE,RR1,RR2,RR3,RR4,RR5,NO_TRACKS,SIGNAL,CAPY_CODE,FF_SPEED,East,SIGNAL_,TERRAIN_,DIRECTION_,SIDING_,MISSING_,AutoFlag_,A_NODE,B_NODE,LENGTH,oldID,RR6,AutoFlag1_,AutoFlag2_,AutoFlag3_,AutoFlag4_,AutoFlag5_,AutoFlag6_,ID,qty
2447,-1,0,1,802,0,0,0,0,1,1,3,55,0,CTC,FLAT,SD,15,0,0,48115,48028,65.6013168281,9816,0,0,0,0,0,0,0,4848125,69879016.0
2448,-1,0,1,777,802,0,0,0,1,2,7,40,0,ABS,HILLY,SD,15,0,0,8043,8016,12.7246195029,0,0,0,0,0,0,0,0,808016,54246356.0
2449,-1,0,4,777,802,0,0,0,2,1,5,30,0,CTC,HILLY,BI,-99,0,0,8017,8042,3.09540144372,0,0,0,0,0,0,0,0,808017,74261552.0
2450,-1,0,2,400,777,802,0,0,1,1,7,65,0,CTC,HILLY,BI,15,0,6,20010,20012,0.719672012267,0,0,1,1,1,1,1,1,2020043,119959680.0
2451,-1,0,2,400,777,802,0,0,1,1,7,65,0,CTC,HILLY,BI,15,0,6,20011,20012,0.965379329249,0,0,1,1,1,1,1,1,2020044,58417040.0
2452,-1,0,2,802,0,0,0,0,1,1,7,60,0,CTC,HILLY,BI,15,0,0,20010,20030,4.89636604031,0,0,0,0,0,0,0,0,2020045,124710960.0
2453,-1,0,2,105,0,0,0,0,1,4,8,30,0,NON,HILLY,BI,25,0,0,46002,46011,13.5743969415,0,0,0,0,0,0,0,0,4646010,10838813.0
2454,-1,0,3,777,105,0,0,0,1,1,5,50,0,CTC,HILLY,SD,-99,0,5,27024,27046,1.49583932769,0,0,1,1,1,1,1,0,2727058,39435076.0
2455,-1,0,3,777,105,0,0,0,1,1,5,50,0,CTC,HILLY,SD,-99,0,5,27052,27024,5.61248063308,0,0,1,1,1,1,1,0,2727059,183798336.0
2456,-1,0,2,802,0,0,0,0,1,1,7,60,0,CTC,HILLY,BI,15,0,0,20023,20030,91.5360106202,0,0,0,0,0,0,0,0,2020046,16648098.0
2457,-1,0,2,777,802,0,0,0,2,1,1,40,0,CTC,FLAT,BI,-99,0,6,48048,48036,1.56963765453,0,0,1,1,1,1,1,1,4848126,84030008.0
2458,-1,0,2,802,0,0,0,0,2,1,1,60,0,CTC,FLAT,BI,-99,0,5,48047,48048,3.84336245651,0,0,1,1,1,1,1,0,4848127,103610952.0
2459,-1,0,2,802,0,0,0,0,2,1,1,60,0,CTC,FLAT,BI,-99,0,5,48048,48109,3.6225812174,0,0,1,1,1,1,1,0,4848128,20899142.0
2460,-1,0,2,777,802,0,0,0,2,1,1,40,0,CTC,FLAT,BI,-99,0,6,48109,48036,1.69952243167,0,0,1,1,1,1,1,1,4848129,99337568.0
2461,-1,0,2,777,802,316,0,0,1,1,6,60,0,CTC,HILLY,BI,5,0,6,19002,19049,0.736987589803,0,0,1,1,1,1,1,1,1919063,35948208.0
2462,-1,0,2,316,0,0,0,0,1,4,8,25,0,NON,HILLY,BI,25,0,0,19051,19049,134.140730396,0,0,0,0,0,0,0,0,1919064,2884484.2
2463,-1,0,4,400,0,0,0,0,2,1,1,55,0,CTC,FLAT,BI,-99,0,5,48032,48034,2.95599762494,0,0,1,1,1,1,1,0,4848130,7103728.5
2464,-1,0,3,777,0,0,0,0,3,1,1,50,0,CTC,FLAT,SD,-99,0,0,6075,6020,21.3096276583,0,0,0,0,0,0,0,0,606062,199407360.0
2465,-1,0,4,802,0,0,0,0,2,1,2,55,0,CTC,FLAT,BI,5,0,0,6032,6031,17.4744155352,0,0,0,0,0,0,0,0,606063,10103972.0
2466,-1,0,3,777,802,0,0,0,2,1,5,50,0,CTC,HILLY,SD,-99,0,6,31002,31034,0.179392180761,0,0,1,1,1,1,1,1,3131043,47865636.0
2467,-1,0,2,777,802,0,0,0,1,1,6,65,0,CTC,HILLY,BI,5,0,6,48001,48049,0.132054935343,0,0,1,1,1,1,1,1,4848131,68510840.0
2468,-1,0,2,777,802,277,0,0,1,1,6,60,0,CTC,HILLY,BI,5,0,6,48050,48021,11.1972829314,0,0,1,1,1,1,1,1,4848132,33745720.0
2469,-1,0,3,802,0,0,0,0,2,1,1,50,0,CTC,FLAT,SD,-99,0,0,49006,49007,2.96734413099,0,0,0,0,0,0,0,0,4949009,16506751.0
2470,-1,0,2,777,0,0,0,0,1,2,7,40,0,ABS,HILLY,BI,15,0,6,46012,46001,0.89758126577,0,0,1,1,1,1,1,1,4646011,13912230.0
2471,-1,0,2,777,0,0,0,0,1,1,3,50,0,CTC,FLAT,BI,15,0,0,38001,38031,2.56482920593,0,0,0,0,0,0,0,0,3838038,59771616.0
2472,-1,0,2,777,0,0,0,0,1,4,8,25,0,NON,HILLY,BI,25,0,0,27008,27010,49.9301064315,0,0,0,0,0,0,0,0,2727060,4084192.5
2473,-1,0,2,777,0,0,0,0,1,1,3,50,0,CTC,FLAT,BI,15,0,0,17002,17003,23.9561050056,0,0,0,0,0,0,0,0,1717203,63661532.0
2474,-1,0,3,777,0,0,0,0,2,1,1,70,0,CTC,FLAT,SD,-99,0,6,48051,48052,0.807684967836,0,0,1,1,1,1,1,1,4848133,63179548.0
2475,-1,0,2,777,0,0,0,0,1,1,3,49,0,CTC,FLAT,BI,15,0,0,38033,27011,2.56156570824,0,0,0,0,0,0,0,0,3827004,112791072.0
2476,-1,0,2,777,0,0,0,0,1,1,6,50,0,CTC,HILLY,BI,5,0,6,20032,20006,0.179715085682,0,0,1,1,1,1,1,1,2020047,159851760.0
2477,-1,0,2,777,0,0,0,0,1,1,3,65,0,CTC,FLAT,BI,15,0,5,20014,20033,3.84331868361,0,0,1,1,1,1,1,0,2020048,7711518.0
2478,-1,0,2,777,802,0,0,0,1,1,3,65,0,CTC,FLAT,BI,15,0,6,20034,20033,0.353956030078,0,0,1,1,1,1,1,1,2020049,171562784.0
2479,-1,0,2,802,0,0,0,0,1,1,7,70,0,CTC,HILLY,BI,15,0,0,48004,20041,213.521310438,0,0,0,0,0,0,0,0,4820001,161365968.0
2480,-1,0,2,802,0,0,0,0,1,1,3,65,0,CTC,FLAT,BI,15,0,5,20033,20014,3.56988975233,0,0,1,1,1,1,1,0,2020050,163940640.0
2481,-1,0,2,777,0,0,0,0,1,1,7,40,0,CTC,HILLY,BI,15,0,0,8018,48129,133.872246364,0,0,0,0,0,0,0,0,848001,10263996.0
2482,-1,0,3,777,802,0,0,0,2,1,5,65,0,CTC,HILLY,SD,-99,0,6,35001,35008,0.713950175607,0,0,1,1,1,1,1,1,3535011,174303504.0
2483,-1,0,2,777,0,0,0,0,1,4,4,40,0,NON,FLAT,BI,25,0,0,35003,35009,181.894694086,0,0,0,0,0,0,0,0,3535012,7038013.0
2484,-1,0,2,802,0,0,0,0,1,1,7,65,0,CTC,HILLY,BI,15,0,0,48025,35001,227.642864095,0,0,0,0,0,0,0,0,4835001,27371864.0
2485,-1,0,3,777,802,0,0,0,2,1,5,65,0,CTC,HILLY,SD,-99,0,6,48024,48025,2.70486295543,0,0,1,1,1,1,1,1,4848134,221804688.0
2486,-1,0,3,777,0,0,0,0,2,1,1,60,0,CTC,FLAT,SD,-99,0,6,31007,31035,0.0904310177581,0,0,1,1,1,1,1,1,3131044,175088096.0
2487,-1,0,1,802,777,0,0,0,1,2,8,50,0,ABS,HILLY,SD,25,0,0,8041,8019,23.8337571302,0,0,0,0,0,0,0,0,808018,17233796.0
2488,-1,0,1,777,802,0,0,0,1,2,8,50,0,ABS,HILLY,SD,25,0,0,8019,8041,23.7869451846,0,0,0,0,0,0,0,0,808019,51803336.0
2489,-1,0,2,777,802,0,0,0,1,1,5,55,0,CTC,HILLY,BI,-99,0,6,8020,8007,2.01618266962,0,0,1,1,1,1,1,1,808020,486520.0
2490,-1,0,2,777,802,0,0,0,1,1,5,55,0,CTC,HILLY,BI,-99,0,6,8006,8020,0.298948842752,0,0,1,1,1,1,1,1,808021,25953416.0
2491,-1,0,4,777,0,0,0,0,2,1,5,60,0,CTC,HILLY,BI,-99,0,5,8023,8013,4.03749662694,0,0,1,1,1,1,1,0,808022,33170990.0
2492,-1,0,2,802,0,0,0,0,1,1,6,45,0,CTC,HILLY,BI,5,0,0,8010,8030,143.539789641,0,0,0,0,0,0,0,0,808023,16679344.0
2493,-1,0,3,802,0,0,0,0,2,1,5,65,0,CTC,HILLY,SD,-99,0,6,49002,49003,2.00245604771,0,0,1,1,1,1,1,1,4949010,52454476.0
2494,-1,0,4,777,802,0,0,0,2,1,1,65,0,CTC,FLAT,BI,-99,0,6,48056,48055,0.127579892099,0,0,1,1,1,1,1,1,4848135,145490128.0
2495,-1,0,2,802,0,0,0,0,1,1,6,60,0,CTC,HILLY,BI,5,0,0,48128,48074,28.8973809219,0,0,0,0,0,0,0,0,4848136,73950560.0
