,ID,A_NODE,B_NODE,LENGTH,TTIME,CAPACITY,P1,P2,GAMMA,TADJ,ML_CLASS,LINK_TYPE,NO_RRS,RR1,RR2,RR3,RR4,RR5,RR6,RR7,RR8
1757,27009,27004,27002,30.92333,46.384995,51.6,0.006312,21.631586,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1758,27010,27011,27017,46.2022,50.4024,258.0,0.001262,10.815793,10.0,0,0,4,1,777,0,0,0,0,0,0,0
1759,27011,27003,27017,63.03038,68.7604145455,258.0,0.001262,10.815793,10.0,0,0,4,1,777,0,0,0,0,0,0,0
1760,27012,27003,27006,118.02497,128.754512727,258.0,0.001262,10.815793,10.0,0,0,4,1,777,0,0,0,0,0,0,0
1761,27013,27014,27018,39.64952,95.158848,9.9,0.032873,21.631586,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1762,27014,27003,27007,120.00416,146.943869388,9.9,0.032873,21.631586,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1763,55005,55001,27007,20.16728,24.6946285714,9.9,0.032873,21.631586,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1764,27015,27008,27009,50.48508,67.31344,51.6,0.006312,21.631586,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1765,27016,27007,27008,22.84309,30.4574533333,51.6,0.006312,21.631586,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1766,55006,55001,55005,2.35157,7.05471,43.0,0.007574,21.631586,25.0,0,0,2,2,777,105,0,0,0,0,0,0
1767,27017,27009,27051,57.254,70.1069387755,16.5,0.019724,21.631586,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1768,38003,38032,27020,26.40269,32.3298244898,9.9,0.032873,21.631586,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1769,27018,27019,27020,33.92252,41.5377795918,9.9,0.032873,21.631586,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1770,27019,27051,27019,73.35806,89.8261959184,9.9,0.032873,21.631586,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1771,27020,27044,27063,61.54316,105.50256,9.9,0.032873,21.631586,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1772,38004,38003,38024,53.85915,53.85915,31.0,0.010519,21.631586,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1773,38005,38029,38024,38.48202,38.48202,31.0,0.010519,21.631586,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1774,38006,38013,38029,80.73077,80.73077,31.0,0.010519,21.631586,25.0,0,0,2,1,777,0,0,0,0,0,0,0
