  105    3    388.86      0.05     95.67      1.14     47.00100.2 26.4    8457.0
  105    4    399.24      0.05     95.67      1.14     47.00102.8 30.1    8587.2
  105    5    379.49      0.05     95.67      1.14     47.00116.3 21.0   13675.1
  105    6    382.21      0.05     95.67      1.14     47.00 99.8 28.2    7821.0
  105    7    476.82      0.05     95.67      1.14    196.00 81.0 41.4    7433.4
  105    8    424.63      0.05     95.67      1.14    196.00 96.0 33.1    7801.6
  105    9    518.94      0.05     95.67      1.14    196.00 90.5 30.9    7745.2
  105   10    951.83      0.05     95.67      1.14    196.00 20.3 49.9    4747.7
  105   11    748.78      0.05     95.67      1.14    340.00 13.3102.4   11869.9
  105   12    806.08      0.05     95.67      1.14    340.00 15.9 81.0    6331.6
  108    1    410.36      0.04     95.67      1.14    196.00 53.9 61.0    7583.4
  108    2    387.92      0.04     95.67      1.14     47.00105.1 26.8    8709.9
  108    3    388.86      0.04     95.67      1.14     47.00103.9 24.2    8457.0
  108    4    399.24      0.04     95.67      1.14     47.00102.6 27.5    8587.2
  108    5    379.49      0.04     95.67      1.14     47.00117.5 19.3   13675.1
  108    6    382.21      0.04     95.67      1.14     47.00 90.2 28.3    7821.0
  108    7    476.82      0.04     95.67      1.14    196.00 62.8 49.8    7433.4
  108    8    424.63      0.04     95.67      1.14    196.00 75.8 42.4    7801.6
  108    9    518.94      0.04     95.67      1.14    196.00 88.1 29.2    7745.2
  108   10    951.83      0.04     95.67      1.14    196.00 19.8 52.1    4747.7
  108   11    748.78      0.04     95.67      1.14    340.00 12.1 86.8   11869.9
  108   12    806.08      0.04     95.67      1.14    340.00 14.1 81.8    6331.6
  127    1    410.36      0.04     95.67      1.14    196.00 53.9 61.0    7583.4
  127    2    387.92      0.04     95.67      1.14     47.00105.1 26.8    8709.9
  127    3    388.86      0.04     95.67      1.14     47.00103.9 24.2    8457.0
  127    4    399.24      0.04     95.67      1.14     47.00102.6 27.5    8587.2
  127    5    379.49      0.04     95.67      1.14     47.00117.5 19.3   13675.1
  127    6    382.21      0.04     95.67      1.14     47.00 90.2 28.3    7821.0
  127    7    476.82      0.04     95.67      1.14    196.00 62.8 49.8    7433.4
  127    8    424.63      0.04     95.67      1.14    196.00 75.8 42.4    7801.6
  127    9    518.94      0.04     95.67      1.14    196.00 88.1 29.2    7745.2
  127   10    951.83      0.04     95.67      1.14    196.00 19.8 52.1    4747.7
  127   11    748.78      0.04     95.67      1.14    340.00 12.1 86.8   11869.9
  127   12    806.08      0.04     95.67      1.14    340.00 14.1 81.8    6331.6
  154    1    410.36      0.04     95.67      1.14    196.00 53.9 61.0    7583.4
  154    2    387.92      0.04     95.67      1.14     47.00105.1 26.8    8709.9
  154    3    388.86      0.04     95.67      1.14     47.00103.9 24.2    8457.0
